,backward_avg_acc_k0,current_avg_acc_k0,forward_avg_acc_k0,forgetting_k0,backward_avg_acc_k1,current_avg_acc_k1,forward_avg_acc_k1,forgetting_k1,backward_avg_acc_k2,current_avg_acc_k2,forward_avg_acc_k2,forgetting_k2,backward_avg_acc_k5,current_avg_acc_k5,forward_avg_acc_k5,forgetting_k5,backward_avg_acc_k10,current_avg_acc_k10,forward_avg_acc_k10,forgetting_k10,backward_AUAC,forward_AUAC,backward_SAUCE,forward_SAUCE,backward_Clipped_AUAC,forward_Clipped_AUAC,backward_Clipped_SAUCE,forward_Clipped_SAUCE
mer_seq-cifar100-20task,10.697894736842105,23.25,0.0,-10.256842105263159,13.067368421052633,25.849999999999994,0.0,-7.887368421052631,16.508421052631576,28.109999999999996,0.0,-4.446315789473684,27.435789473684206,34.62,0.0,6.481052631578948,37.602105263157895,38.96,0.28105263157894733,16.647368421052633,4.009792299019663,5.639759575693231,0.4001224582916812,0.4282701027236487,3.928013898196973,5.58068232034382,0.4746390188210889,0.48502767885986126
er_seq-cifar100-20task,56.08105263157895,90.34,0.0,-32.70736842105264,60.92842105263158,89.66,0.5778947368421053,-27.86,62.93052631578947,89.81,9.707368421052632,-25.857894736842105,68.76842105263158,89.91,30.27578947368421,-20.02,70.55052631578947,89.75000000000001,50.01052631578948,-18.237894736842104,0.1305741563047233,0.204041149545657,0.25319776335044913,0.19819076139675942,0.1255335498012994,0.18524467051029206,0.24087936723310696,0.21452856875563922
meta-ewc_seq-cifar100-20task_maml_parallel,14.153684210526315,87.07000000000001,0.0,-70.37894736842105,43.07999999999999,89.11999999999999,3.214736842105263,-41.45263157894737,49.07157894736842,89.65,1.8442105263157893,-35.461052631578944,57.828421052631576,90.9,1.2610526315789472,-26.704210526315787,68.30315789473683,90.55999999999999,4.623157894736841,-16.229473684210525,0.08302809613707815,0.3930359573740708,0.08672458519668952,0.12324198213847057,0.0821373096422145,0.3017923648420133,0.0850558488580741,0.10803829613876967
agem_seq-cifar100-20task,29.678947368421053,92.44000000000001,0.0,-62.01894736842105,22.642105263157895,88.78999999999999,22.898947368421055,-69.05578947368423,24.03052631578948,82.86,23.082105263157896,-67.66736842105264,26.049473684210525,86.53999999999999,23.94736842105263,-65.64842105263158,33.43157894736842,45.099999999999994,32.95368421052632,-58.26631578947369,56.865451719415816,122.05520337106366,0.31601061366106337,0.3086865068266266,0.26320690881264835,0.3459204547891491,0.621431277868779,0.5820464040495847
ewc-on_seq-cifar100-20task,12.736842105263158,80.09,0.0,-63.13368421052631,38.03578947368421,88.75,15.763157894736842,-37.834736842105265,46.052631578947356,87.69999999999999,13.75578947368421,-29.817894736842103,57.555789473684214,89.38,9.548421052631578,-18.314736842105265,66.58947368421053,84.99999999999999,19.830526315789474,-9.28105263157895,0.09611712845140379,0.5371073515791642,0.10433833750062864,0.1638280757751904,0.09329085220631797,0.422963531942744,0.10224786202766391,0.1424436383537556
meta-er_seq-cifar100-20task_maml_parallel,54.1578947368421,90.03,0.0,-34.35894736842105,58.38,89.5,0.21684210526315792,-30.13684210526316,61.052631578947356,87.57999999999998,9.205263157894738,-27.464210526315792,67.21789473684211,89.85000000000001,28.71684210526316,-21.298947368421054,70.46631578947368,89.5,49.613684210526316,-18.050526315789472,0.13830180856350222,0.2266036872408892,0.26851372785474126,0.21854641821823623,0.13673198750536691,0.19917859595857168,0.2606924182490299,0.23645131395835625
meta-agem_seq-cifar100-20task_maml_parallel,19.894736842105264,92.58,0.0,-71.9978947368421,53.84315789473685,88.85,34.846315789473685,-38.049473684210525,59.374736842105264,89.29,40.40526315789474,-32.5178947368421,65.92105263157895,89.41999999999999,47.24421052631579,-25.971578947368418,71.13263157894737,88.73999999999998,55.578947368421055,-20.759999999999994,0.06255262515654685,0.07998118139803406,0.09240838981380585,0.0788320583928572,0.06212527391157647,0.07797896336568026,0.09093256859402904,0.07452429160475728
meta-sgd_seq-cifar100-20task_maml_parallel,21.670526315789473,91.58,0.0,-68.87684210526317,39.153684210526315,90.44,32.083157894736836,-51.39368421052631,45.980000000000004,89.71,36.50631578947368,-44.56736842105263,56.54842105263158,90.53,40.80526315789474,-33.99894736842105,68.73052631578948,86.41,53.18736842105263,-21.816842105263156,0.08344408587405554,0.12400236878740158,0.09898131211337287,0.11648221574723717,0.08235800417238157,0.1064439546120794,0.09679440199152417,0.1089932263289627
sgd_seq-cifar100-20task,23.558947368421055,92.21,0.0,-67.6736842105263,39.72105263157895,90.39,28.204210526315787,-51.51157894736843,46.16105263157896,89.66,28.026315789473685,-45.071578947368415,56.27684210526317,91.14999999999999,22.95368421052632,-34.955789473684206,67.75894736842106,90.05,48.151578947368414,-23.473684210526315,0.09403498576659902,0.18335843247018363,0.10740946960684497,0.1548856838361213,0.09013700822466295,0.13613108490642747,0.10309371975691692,0.14913969224220827
meta-derpp_seq-cifar100-20task_maml_parallel,54.90736842105263,82.51,0.0,-29.10631578947368,62.63263157894736,85.09,21.99684210526316,-21.381052631578942,69.33157894736843,86.5,33.107368421052634,-14.682105263157892,76.10105263157894,89.53,47.28736842105263,-7.912631578947364,80.74947368421053,90.15,63.94842105263158,-3.2642105263157863,0.04439087419917705,0.0660826201697713,0.24708088479543988,0.1338616723292752,0.04395949433704736,0.06604659380881406,0.2408466133043954,0.13369117618391388
derpp_seq-cifar100-20task,54.10421052631578,83.81,0.0,-30.821052631578947,64.9578947368421,86.33,22.98105263157895,-19.967368421052626,71.48105263157896,87.55,33.741052631578945,-13.444210526315787,77.76736842105262,89.55999999999997,47.6021052631579,-7.157894736842103,81.44736842105262,90.88,62.426315789473676,-3.4778947368421025,0.04209507167535388,0.06618477149229296,0.22746197589133915,0.1281801424136287,0.04181877195246905,0.0661493562161922,0.22377965928692567,0.12800248900526445
