,backward_avg_acc_k0,current_avg_acc_k0,forward_avg_acc_k0,forgetting_k0,backward_avg_acc_k1,current_avg_acc_k1,forward_avg_acc_k1,forgetting_k1,backward_avg_acc_k2,current_avg_acc_k2,forward_avg_acc_k2,forgetting_k2,backward_avg_acc_k5,current_avg_acc_k5,forward_avg_acc_k5,forgetting_k5,backward_avg_acc_k10,current_avg_acc_k10,forward_avg_acc_k10,forgetting_k10,backward_AUAC,forward_AUAC,backward_SAUCE,forward_SAUCE,backward_Clipped_AUAC,forward_Clipped_AUAC,backward_Clipped_SAUCE,forward_Clipped_SAUCE
meta-derpp_smooth-rot-mnist_maml_parallel,85.24760765550239,97.0909090909091,55.31818181818182,-11.171052631578943,85.95933014354067,96.93181818181819,57.44617224880383,-10.459330143540663,86.35406698564594,96.72727272727272,57.55382775119617,-10.064593301435401,86.66267942583733,96.68181818181817,58.06818181818182,-9.755980861244012,86.91866028708135,96.32954545454544,61.26315789473684,-9.499999999999995,0.007092462738020003,0.0232687577905476,0.41295752772375155,0.4612770028020206,0.006925771353263848,0.022945329395588434,0.21362759998362316,0.3736388175307136
sgd_smooth-rot-mnist,49.58373205741626,98.4318181818182,41.30861244019139,-48.44736842105263,43.08133971291866,70.3068181818182,37.69976076555023,-54.94976076555025,48.947368421052644,84.32954545454544,41.73684210526316,-49.08373205741627,61.58373205741627,87.20454545454545,56.18062200956937,-36.44736842105263,52.648325358851686,65.69318181818183,47.00717703349282,-45.38277511961722,0.04143983571128425,0.04284500481413771,0.377934688486551,0.3453156552424556,0.030294138733236265,0.03282533112674408,0.27829105352100575,0.22427038024914892
meta-agem_smooth-rot-mnist_maml_parallel,51.450956937799035,97.06818181818181,42.186602870813395,-45.229665071770334,39.983253588516746,58.102272727272734,32.71291866028709,-56.69736842105263,51.09808612440192,76.68181818181817,38.526315789473685,-45.58253588516747,63.00837320574162,79.28409090909092,50.906698564593306,-33.67224880382775,48.043062200956946,49.75,38.71052631578947,-48.637559808612444,0.035814218968152955,0.04207151236355692,0.34410253712221195,0.33457048703965386,0.023744568901479593,0.029940025364110005,0.22512560753445876,0.17963730910498846
derpp_smooth-rot-mnist,81.54186602870813,91.53409090909092,45.77272727272728,-7.480861244019142,88.30023923444976,96.57954545454545,53.12559808612442,-0.7224880382775153,88.79904306220092,96.51136363636364,53.17822966507177,-0.22368421052631968,89.61124401913874,96.38636363636364,54.57177033492823,0.5885167464114786,89.61842105263158,95.98863636363635,58.680622009569376,0.5956937799043006,0.006018911897952272,0.025472003704329026,0.2293511268535727,0.34605781814377556,0.00588703776930307,0.025094098654134443,0.1398123250784058,0.296460528338426
agem_smooth-rot-mnist,44.97607655502392,84.72727272727275,31.278708133971286,-34.99401913875598,51.54425837320575,93.2159090909091,40.75598086124402,-28.425837320574157,53.582535885167474,92.88636363636363,40.43301435406699,-26.38755980861244,60.198564593301434,92.09090909090908,47.30143540669856,-19.77153110047847,63.83373205741627,88.06818181818181,50.39473684210526,-16.136363636363637,0.02593387677701872,0.035035590148579876,0.3302283269794364,0.308177718657412,0.02544119595396818,0.03409478849192194,0.28058953279335247,0.24746203579400716
ewc-on_smooth-rot-mnist,47.260765550239235,96.85227272727272,38.7200956937799,-48.906698564593306,29.2488038277512,42.02272727272727,22.412679425837315,-66.91866028708135,36.96052631578947,55.79545454545454,29.348086124401917,-59.20693779904306,57.15311004784689,65.17045454545453,49.43181818181819,-39.01435406698564,36.50956937799043,35.06818181818183,30.848086124401917,-59.6578947368421,0.08000338917696159,0.0904911300412526,0.2800229066296628,0.28666112948405115,0.04301743660532669,0.053417571450853185,0.18624642781521145,0.23513784608558605
er_smooth-rot-mnist,87.97966507177034,97.94318181818181,54.29784688995215,-9.583732057416265,87.97248803827752,97.92045454545453,55.79784688995215,-9.590909090909086,88.30741626794257,97.8181818181818,56.16267942583732,-9.255980861244016,88.5933014354067,97.87499999999999,56.94976076555023,-8.970095693779903,88.50956937799045,97.51136363636364,60.11602870813398,-9.053827751196168,0.006799048784274658,0.035762808748863985,0.4711419517272397,0.5081880013409413,0.006496014962076947,0.035262223311062664,0.19975808717702564,0.440839977797709
meta-ewc_smooth-rot-mnist_maml_parallel,46.540669856459324,97.11363636363636,39.28708133971292,-50.016746411483254,34.58612440191387,52.18181818181817,26.9366028708134,-61.971291866028714,39.64952153110048,61.94318181818181,32.74401913875598,-56.9078947368421,63.0933014354067,79.94318181818181,53.843301435406694,-33.464114832535884,38.84928229665071,41.10227272727272,33.60167464114833,-57.70813397129187,0.05891783131580599,0.06501145785870516,0.29404552292666936,0.2829387367948105,0.03458678755774403,0.042734229046312175,0.17384219591162706,0.18021706405438875
meta-sgd_smooth-rot-mnist_maml_parallel,52.1543062200957,97.89772727272728,43.645933014354064,-45.377990430622,53.16387559808613,97.27272727272728,45.92583732057417,-44.36842105263156,56.48803827751196,97.25,46.14234449760765,-41.044258373205736,62.06578947368421,96.125,51.406698564593306,-35.46650717703349,67.0287081339713,95.70454545454545,55.78349282296651,-30.50358851674641,0.031132148424972195,0.038408234489677236,0.40007831152332457,0.42819350099093034,0.030393297404148808,0.03727949330963092,0.3644729516419925,0.3719682790338993
meta-er_smooth-rot-mnist_maml_parallel,85.65669856459328,97.69318181818181,57.74521531100479,-11.501196172248806,85.60526315789473,97.42045454545453,58.843301435406694,-11.552631578947368,85.82655502392345,97.31818181818181,58.97248803827752,-11.33133971291866,85.92583732057417,97.2159090909091,59.466507177033485,-11.232057416267944,86.34808612440193,97.02272727272727,62.64354066985646,-10.809808612440191,0.008779442380488752,0.029874557348605394,0.5295684979150169,0.5131512421526407,0.008394154674054908,0.029370416693793762,0.2573665549488444,0.40379908520140145
