,backward_avg_acc_k0,current_avg_acc_k0,forward_avg_acc_k0,forgetting_k0,backward_avg_acc_k1,current_avg_acc_k1,forward_avg_acc_k1,forgetting_k1,backward_avg_acc_k2,current_avg_acc_k2,forward_avg_acc_k2,forgetting_k2,backward_avg_acc_k5,current_avg_acc_k5,forward_avg_acc_k5,forgetting_k5,backward_avg_acc_k10,current_avg_acc_k10,forward_avg_acc_k10,forgetting_k10,backward_AUAC,forward_AUAC,backward_SAUCE,forward_SAUCE,backward_Clipped_AUAC,forward_Clipped_AUAC,backward_Clipped_SAUCE,forward_Clipped_SAUCE
meta-ewc_struct-cifar100_maml_parallel,10.081052631578947,70.53999999999999,0.0,-56.36105263157894,32.911578947368426,73.56000000000002,1.743157894736842,-33.53052631578947,37.02105263157895,75.48,0.5442105263157895,-29.421052631578952,42.27473684210527,76.41,0.1410526315789474,-24.167368421052636,49.863157894736844,74.64000000000001,2.30421052631579,-16.57894736842105,0.10678227339920242,0.35545282881510887,0.08465888862939254,0.12863467561179084,0.10517293132449448,0.30954448863079675,0.08198238401428647,0.11562521079261048
derpp_struct-cifar100,42.910526315789475,70.76,0.0,-28.710526315789473,26.00315789473684,29.54,21.821052631578947,-45.61789473684211,31.224210526315787,23.21,23.418947368421055,-40.396842105263154,39.36421052631579,16.669999999999998,27.82421052631579,-32.25684210526316,38.73684210526316,32.04,31.204210526315787,-32.88421052631579,0.13067255922053989,0.13839167211400835,0.3050103640477908,0.19504392327446687,0.08014201668924403,0.10930921819649242,0.3886273073522668,0.18307902593361705
er_struct-cifar100,40.34315789473684,76.02,0.0,-35.00526315789474,15.588421052631578,63.870000000000005,1.807368421052632,-59.760000000000005,19.543157894736844,73.96000000000001,4.3568421052631585,-55.805263157894736,31.0,74.05999999999999,18.39263157894737,-44.348421052631586,44.197894736842095,71.27999999999999,29.901052631578946,-31.150526315789474,0.891441271807018,0.9237644335156993,0.301594391190692,0.21037035047223693,0.21544502918657504,0.2548196459679227,0.684800784838827,0.3097877919281784
meta-sgd_struct-cifar100_maml_parallel,13.906315789473684,78.16999999999999,0.0,-62.782105263157895,31.864210526315784,70.66,20.852631578947367,-44.82421052631578,36.82947368421053,74.00000000000001,17.904210526315786,-39.858947368421056,42.945263157894736,76.49999999999999,14.621052631578948,-33.74315789473685,49.866315789473674,71.75000000000001,31.96421052631579,-26.822105263157898,0.10131598197315865,0.1788176861640654,0.0935019488789533,0.15591629071063118,0.09960484516463779,0.14353076937167267,0.09175892980083036,0.14809391518172466
mer_struct-cifar100,10.57684210526316,16.66,0.0,-8.032631578947369,11.498947368421051,17.34,0.0,-7.110526315789474,14.033684210526314,20.349999999999998,0.0,-4.5757894736842095,20.841052631578947,27.05,0.0,2.2315789473684213,30.012631578947374,31.76,0.04631578947368421,11.403157894736845,3.741549143038298,5.428449475137811,0.4551775482140089,0.5051566450219406,3.7180833565561393,5.400902251193398,0.4918025023058841,0.5348505453059548
meta-derpp_struct-cifar100_maml_parallel,41.64315789473684,71.16999999999999,0.0,-30.16105263157895,46.94842105263158,72.08000000000001,14.841052631578949,-24.85578947368421,51.77263157894736,73.05,19.562105263157896,-20.03157894736842,57.89473684210526,74.47,27.099999999999994,-13.909473684210523,62.26947368421052,75.85000000000001,41.32105263157895,-9.534736842105263,0.06698377081438112,0.07925943447963185,0.2986969326671801,0.12119239913789846,0.0667372836682357,0.07916702163454731,0.2938680377053587,0.12082706133001726
ewc-on_struct-cifar100,10.298947368421054,71.82000000000001,0.0,-58.250526315789465,29.982105263157898,71.11,10.613684210526317,-38.567368421052635,36.22,74.76999999999998,7.226315789473684,-32.32947368421053,43.40526315789474,76.59,3.26421052631579,-25.14421052631579,50.73894736842106,69.74999999999999,7.987368421052631,-17.810526315789478,0.1339351363087955,0.5486653657335984,0.10914272542454692,0.17184103190114625,0.11817121788075093,0.3786326104873105,0.1076825678348541,0.15556666731442276
sgd_struct-cifar100,12.578947368421053,78.88,0.0,-64.93894736842105,31.647368421052633,76.23,19.30210526315789,-45.87052631578948,36.602105263157895,75.50000000000001,11.94315789473684,-40.915789473684214,43.59263157894737,77.97999999999999,6.3705263157894745,-33.92526315789473,50.412631578947355,72.36000000000001,31.655789473684212,-27.105263157894736,0.10062798171451215,0.18229500369021767,0.09351472435028926,0.16366145081425967,0.0988874298177267,0.14132242947816848,0.0904645828628226,0.14327068119064756
meta-er_struct-cifar100_maml_parallel,37.40105263157895,75.11999999999998,0.0,-36.67578947368421,40.99263157894737,73.88,0.044210526315789464,-33.084210526315786,44.53052631578947,73.97999999999999,1.2694736842105263,-29.54631578947368,51.108421052631584,74.78,13.012631578947367,-22.96842105263158,53.39263157894736,74.72,32.12842105263158,-20.684210526315788,0.1798111729323864,0.20556571162060688,0.31615639038776094,0.22803329178377202,0.1784242949203441,0.19928832312947825,0.3119674522233637,0.2219728033401464
meta-agem_struct-cifar100_maml_parallel,13.370526315789474,78.97,0.0,-64.96736842105263,36.26210526315789,74.79,21.647368421052633,-42.07578947368421,39.87157894736842,75.26999999999998,22.08421052631579,-38.46631578947368,44.8,75.48,23.941052631578945,-33.537894736842105,50.17894736842106,73.9,36.02421052631579,-28.158947368421053,0.08844127411905085,0.102697721437404,0.10674519948661325,0.10251067667023128,0.08789578660538319,0.10068299021375804,0.10436578814528487,0.09847656315878815
