checkpoint_id,eval_task_id,k_value,accuracy,loss,num_adapt_steps,adapt_lr,num_examples_used,AUAC,Clipped_AUAC,SAUCE,Clipped_SAUCE
er_rot-mnist_0,0,0,38.1,0.0203945495009422,0,,0,0.015619421377778053,0.015619421377778053,0.4599496126174927,0.4599496126174927
er_rot-mnist_0,0,1,38.62,0.019406077003479,10,0.01,10,0.015619421377778053,0.015619421377778053,0.4599496126174927,0.4599496126174927
er_rot-mnist_0,0,2,40.43,0.018258599615097,10,0.01,20,0.015619421377778053,0.015619421377778053,0.4599496126174927,0.4599496126174927
er_rot-mnist_0,0,5,45.1,0.0152980749368667,10,0.01,64,0.015619421377778053,0.015619421377778053,0.4599496126174927,0.4599496126174927
er_rot-mnist_0,0,10,53.61,0.0115525441586971,10,0.01,128,0.015619421377778053,0.015619421377778053,0.4599496126174927,0.4599496126174927
er_rot-mnist_0,1,0,13.05,0.0434532305240631,0,,0,0.0392446368932724,0.03921298310160637,0.4845242202281952,0.4806472957134247
er_rot-mnist_0,1,1,13.4,0.0415907918930053,10,0.01,10,0.0392446368932724,0.03921298310160637,0.4845242202281952,0.4806472957134247
er_rot-mnist_0,1,2,13.16,0.0417490570545196,10,0.01,20,0.0392446368932724,0.03921298310160637,0.4845242202281952,0.4806472957134247
er_rot-mnist_0,1,5,14.46,0.0393522442579269,10,0.01,64,0.0392446368932724,0.03921298310160637,0.4845242202281952,0.4806472957134247
er_rot-mnist_0,1,10,15.68,0.0352887454032897,10,0.01,128,0.0392446368932724,0.03921298310160637,0.4845242202281952,0.4806472957134247
er_rot-mnist_0,2,0,90.38,0.0025507771493867,0,,0,0.0027310571167618036,0.0025507770478725433,0.4457821249961853,0.0
er_rot-mnist_0,2,1,90.0,0.0026207497753202,10,0.01,10,0.0027310571167618036,0.0025507770478725433,0.4457821249961853,0.0
er_rot-mnist_0,2,2,90.22,0.0025781574364751,10,0.01,20,0.0027310571167618036,0.0025507770478725433,0.4457821249961853,0.0
er_rot-mnist_0,2,5,89.61,0.0027175361860543,10,0.01,64,0.0027310571167618036,0.0025507770478725433,0.4457821249961853,0.0
er_rot-mnist_0,2,10,88.53999999999999,0.0029551886804401,10,0.01,128,0.0027310571167618036,0.0025507770478725433,0.4457821249961853,0.0
er_rot-mnist_0,3,0,23.74,0.029639215683937,0,,0,0.028116337954998016,0.028000839054584503,0.4827437996864319,0.4435131251811981
