checkpoint_id,eval_task_id,k_value,accuracy,loss,num_adapt_steps,adapt_lr,num_examples_used,AUAC,Clipped_AUAC,SAUCE,Clipped_SAUCE
mer_seq-cifar100-20task_0,0,0,39.2,1.7806992950215936,0,,0,1.7221205234527588,1.7150211334228516,0.5727832317352295,0.5210082530975342
mer_seq-cifar100-20task_0,0,1,38.2,1.7488801071196796,10,0.2,5,1.7221205234527588,1.7150211334228516,0.5727832317352295,0.5210082530975342
mer_seq-cifar100-20task_0,0,2,39.0,1.7336712271794676,10,0.2,10,1.7221205234527588,1.7150211334228516,0.5727832317352295,0.5210082530975342
mer_seq-cifar100-20task_0,0,5,38.4,1.751419257136993,10,0.2,25,1.7221205234527588,1.7150211334228516,0.5727832317352295,0.5210082530975342
mer_seq-cifar100-20task_0,0,10,39.2,1.6435818855911493,10,0.2,50,1.7221205234527588,1.7150211334228516,0.5727832317352295,0.5210082530975342
mer_seq-cifar100-20task_0,1,0,0.0,7.184477971076966,0,,0,5.245311737060547,5.245311737060547,0.3617950975894928,0.3617950975894928
mer_seq-cifar100-20task_0,1,1,0.0,6.190647475242614,10,0.2,5,5.245311737060547,5.245311737060547,0.3617950975894928,0.3617950975894928
mer_seq-cifar100-20task_0,1,2,0.0,5.857421175003052,10,0.2,10,5.245311737060547,5.245311737060547,0.3617950975894928,0.3617950975894928
mer_seq-cifar100-20task_0,1,5,0.0,5.147591117858887,10,0.2,25,5.245311737060547,5.245311737060547,0.3617950975894928,0.3617950975894928
mer_seq-cifar100-20task_0,1,10,0.0,4.146007988452912,10,0.2,50,5.245311737060547,5.245311737060547,0.3617950975894928,0.3617950975894928
mer_seq-cifar100-20task_0,2,0,0.0,6.271240378379821,0,,0,5.006199359893799,5.006199359893799,0.48488175868988037,0.48488175868988037
mer_seq-cifar100-20task_0,2,1,0.0,6.254429371833801,10,0.2,5,5.006199359893799,5.006199359893799,0.48488175868988037,0.48488175868988037
mer_seq-cifar100-20task_0,2,2,0.0,5.692737185478211,10,0.2,10,5.006199359893799,5.006199359893799,0.48488175868988037,0.48488175868988037
mer_seq-cifar100-20task_0,2,5,0.0,4.9369836559295655,10,0.2,25,5.006199359893799,5.006199359893799,0.48488175868988037,0.48488175868988037
mer_seq-cifar100-20task_0,2,10,0.0,3.815413824558258,10,0.2,50,5.006199359893799,5.006199359893799,0.48488175868988037,0.48488175868988037
mer_seq-cifar100-20task_0,3,0,0.0,6.306696788787842,0,,0,5.397317886352539,5.284429550170898,0.3942945599555969,0.5428589582443237
mer_seq-cifar100-20task_0,3,1,0.0,7.435574731826782,10,0.2,5,5.397317886352539,5.284429550170898,0.3942945599555969,0.5428589582443237
mer_seq-cifar100-20task_0,3,2,0.0,6.196402561187744,10,0.2,10,5.397317886352539,5.284429550170898,0.3942945599555969,0.5428589582443237
mer_seq-cifar100-20task_0,3,5,0.0,5.20381266117096,10,0.2,25,5.397317886352539,5.284429550170898,0.3942945599555969,0.5428589582443237
mer_seq-cifar100-20task_0,3,10,0.0,4.070478260993958,10,0.2,50,5.397317886352539,5.284429550170898,0.3942945599555969,0.5428589582443237
mer_seq-cifar100-20task_0,4,0,0.0,7.352917457580566,0,,0,4.798531532287598,4.798531532287598,0.31490451097488403,0.31490451097488403
