checkpoint_id,eval_task_id,k_value,accuracy,loss,num_adapt_steps,adapt_lr,num_examples_used,AUAC,Clipped_AUAC,SAUCE,Clipped_SAUCE
mer_seq-cifar100_0,0,0,24.3,2.4785121434628965,0,,0,2.464345693588257,2.4533963203430176,0.35305550694465637,0.3575778901576996
mer_seq-cifar100_0,0,1,24.4,2.5100257538855075,5,0.01,10,2.464345693588257,2.4533963203430176,0.35305550694465637,0.3575778901576996
mer_seq-cifar100_0,0,2,24.6,2.4529424164146185,5,0.01,20,2.464345693588257,2.4533963203430176,0.35305550694465637,0.3575778901576996
mer_seq-cifar100_0,0,5,24.3,2.4724370867908,5,0.01,50,2.464345693588257,2.4533963203430176,0.35305550694465637,0.3575778901576996
mer_seq-cifar100_0,0,10,24.1,2.4394168932288887,5,0.01,100,2.464345693588257,2.4533963203430176,0.35305550694465637,0.3575778901576996
mer_seq-cifar100_0,1,0,0.0,5.976518802165985,0,,0,6.179889678955078,5.976518630981445,0.42935022711753845,0.0
mer_seq-cifar100_0,1,1,0.0,6.259228481769561,5,0.01,10,6.179889678955078,5.976518630981445,0.42935022711753845,0.0
mer_seq-cifar100_0,1,2,0.0,6.450190211772918,5,0.01,20,6.179889678955078,5.976518630981445,0.42935022711753845,0.0
mer_seq-cifar100_0,1,5,0.0,6.04206373167038,5,0.01,50,6.179889678955078,5.976518630981445,0.42935022711753845,0.0
mer_seq-cifar100_0,1,10,0.0,6.193108891010285,5,0.01,100,6.179889678955078,5.976518630981445,0.42935022711753845,0.0
mer_seq-cifar100_0,2,0,0.0,6.25926661491394,0,,0,6.185081481933594,5.952840805053711,0.32300591468811035,0.2386385202407837
mer_seq-cifar100_0,2,1,0.0,5.965254882335663,5,0.01,10,6.185081481933594,5.952840805053711,0.32300591468811035,0.2386385202407837
mer_seq-cifar100_0,2,2,0.0,6.87314242887497,5,0.01,20,6.185081481933594,5.952840805053711,0.32300591468811035,0.2386385202407837
mer_seq-cifar100_0,2,5,0.0,6.091913321495056,5,0.01,50,6.185081481933594,5.952840805053711,0.32300591468811035,0.2386385202407837
mer_seq-cifar100_0,2,10,0.0,5.856795297145844,5,0.01,100,6.185081481933594,5.952840805053711,0.32300591468811035,0.2386385202407837
mer_seq-cifar100_0,3,0,0.0,5.575801282882691,0,,0,5.691781520843506,5.504622459411621,0.4552651643753052,0.05000000074505806
mer_seq-cifar100_0,3,1,0.0,5.500876513957977,5,0.01,10,5.691781520843506,5.504622459411621,0.4552651643753052,0.05000000074505806
mer_seq-cifar100_0,3,2,0.0,5.920203526973724,5,0.01,20,5.691781520843506,5.504622459411621,0.4552651643753052,0.05000000074505806
mer_seq-cifar100_0,3,5,0.0,5.559712187290192,5,0.01,50,5.691781520843506,5.504622459411621,0.4552651643753052,0.05000000074505806
mer_seq-cifar100_0,3,10,0.0,5.819912446022034,5,0.01,100,5.691781520843506,5.504622459411621,0.4552651643753052,0.05000000074505806
mer_seq-cifar100_0,4,0,0.0,5.858646745681763,0,,0,6.0916748046875,5.722317218780518,0.4756075143814087,0.05000000074505806
mer_seq-cifar100_0,4,1,0.0,5.7151419892311095,5,0.01,10,6.0916748046875,5.722317218780518,0.4756075143814087,0.05000000074505806
mer_seq-cifar100_0,4,2,0.0,6.506829058170319,5,0.01,20,6.0916748046875,5.722317218780518,0.4756075143814087,0.05000000074505806
mer_seq-cifar100_0,4,5,0.0,6.104970466136932,5,0.01,50,6.0916748046875,5.722317218780518,0.4756075143814087,0.05000000074505806
mer_seq-cifar100_0,4,10,0.0,5.935494827747345,5,0.01,100,6.0916748046875,5.722317218780518,0.4756075143814087,0.05000000074505806
mer_seq-cifar100_0,5,0,0.0,6.342617791652679,0,,0,6.5282793045043945,6.324962615966797,0.4072415828704834,0.34999996423721313
mer_seq-cifar100_0,5,1,0.0,6.820396246433258,5,0.01,10,6.5282793045043945,6.324962615966797,0.4072415828704834,0.34999996423721313
mer_seq-cifar100_0,5,2,0.0,6.838054821491242,5,0.01,20,6.5282793045043945,6.324962615966797,0.4072415828704834,0.34999996423721313
mer_seq-cifar100_0,5,5,0.0,6.315455319404602,5,0.01,50,6.5282793045043945,6.324962615966797,0.4072415828704834,0.34999996423721313
mer_seq-cifar100_0,5,10,0.0,6.541263383865356,5,0.01,100,6.5282793045043945,6.324962615966797,0.4072415828704834,0.34999996423721313
mer_seq-cifar100_0,6,0,0.0,5.982669327259064,0,,0,6.229377746582031,5.982669830322266,0.3605141043663025,0.0
mer_seq-cifar100_0,6,1,0.0,6.054438031196594,5,0.01,10,6.229377746582031,5.982669830322266,0.3605141043663025,0.0
mer_seq-cifar100_0,6,2,0.0,6.666993433952332,5,0.01,20,6.229377746582031,5.982669830322266,0.3605141043663025,0.0
mer_seq-cifar100_0,6,5,0.0,6.202463958263397,5,0.01,50,6.229377746582031,5.982669830322266,0.3605141043663025,0.0
mer_seq-cifar100_0,6,10,0.0,6.041665133953095,5,0.01,100,6.229377746582031,5.982669830322266,0.3605141043663025,0.0
mer_seq-cifar100_0,7,0,0.0,5.9437252750396725,0,,0,6.251627445220947,5.9437255859375,0.7305574417114258,0.0
mer_seq-cifar100_0,7,1,0.0,6.028983581066131,5,0.01,10,6.251627445220947,5.9437255859375,0.7305574417114258,0.0
mer_seq-cifar100_0,7,2,0.0,6.300405628681183,5,0.01,20,6.251627445220947,5.9437255859375,0.7305574417114258,0.0
mer_seq-cifar100_0,7,5,0.0,6.365187018394471,5,0.01,50,6.251627445220947,5.9437255859375,0.7305574417114258,0.0
