checkpoint_id,eval_task_id,k_value,accuracy,loss,num_adapt_steps,adapt_lr,num_examples_used,AUAC,Clipped_AUAC,SAUCE,Clipped_SAUCE
meta-sgd_rot-mnist_reptile_parallel_0,0,0,14.39,0.0346636686325073,0,,0,0.031337857246398926,0.03125397861003876,0.4197356402873993,0.46204787492752075
meta-sgd_rot-mnist_reptile_parallel_0,0,1,14.93,0.0355024495601654,10,0.01,10,0.031337857246398926,0.03125397861003876,0.4197356402873993,0.46204787492752075
meta-sgd_rot-mnist_reptile_parallel_0,0,2,16.23,0.0335800765275955,10,0.01,20,0.031337857246398926,0.03125397861003876,0.4197356402873993,0.46204787492752075
meta-sgd_rot-mnist_reptile_parallel_0,0,5,16.619999999999997,0.0306426601886749,10,0.01,64,0.031337857246398926,0.03125397861003876,0.4197356402873993,0.46204787492752075
meta-sgd_rot-mnist_reptile_parallel_0,0,10,17.61,0.0283253826856613,10,0.01,128,0.031337857246398926,0.03125397861003876,0.4197356402873993,0.46204787492752075
meta-sgd_rot-mnist_reptile_parallel_0,1,0,14.07,0.035444611620903,0,,0,0.021455012261867523,0.021455012261867523,0.30007287859916687,0.30007287859916687
meta-sgd_rot-mnist_reptile_parallel_0,1,1,19.89,0.0272362690925598,10,0.01,10,0.021455012261867523,0.021455012261867523,0.30007287859916687,0.30007287859916687
meta-sgd_rot-mnist_reptile_parallel_0,1,2,20.86,0.0252295947790145,10,0.01,20,0.021455012261867523,0.021455012261867523,0.30007287859916687,0.30007287859916687
meta-sgd_rot-mnist_reptile_parallel_0,1,5,27.16,0.0201222226262092,10,0.01,64,0.021455012261867523,0.021455012261867523,0.30007287859916687,0.30007287859916687
meta-sgd_rot-mnist_reptile_parallel_0,1,10,39.55,0.0154573890328407,10,0.01,128,0.021455012261867523,0.021455012261867523,0.30007287859916687,0.30007287859916687
meta-sgd_rot-mnist_reptile_parallel_0,2,0,60.2,0.0095519035160541,0,,0,0.011354475282132626,0.00955190323293209,0.718130350112915,0.0
meta-sgd_rot-mnist_reptile_parallel_0,2,1,56.69,0.0112312806665897,10,0.01,10,0.011354475282132626,0.00955190323293209,0.718130350112915,0.0
meta-sgd_rot-mnist_reptile_parallel_0,2,2,55.900000000000006,0.0111901231408119,10,0.01,20,0.011354475282132626,0.00955190323293209,0.718130350112915,0.0
meta-sgd_rot-mnist_reptile_parallel_0,2,5,57.09,0.0112505731761455,10,0.01,64,0.011354475282132626,0.00955190323293209,0.718130350112915,0.0
meta-sgd_rot-mnist_reptile_parallel_0,2,10,54.67,0.0120619922220706,10,0.01,128,0.011354475282132626,0.00955190323293209,0.718130350112915,0.0
meta-sgd_rot-mnist_reptile_parallel_0,3,0,79.43,0.0051531085908412,0,,0,0.006508355960249901,0.005153108388185501,0.7778362035751343,0.0
meta-sgd_rot-mnist_reptile_parallel_0,3,1,73.11,0.006498773241043,10,0.01,10,0.006508355960249901,0.005153108388185501,0.7778362035751343,0.0
meta-sgd_rot-mnist_reptile_parallel_0,3,2,73.55000000000001,0.0062187616795301,10,0.01,20,0.006508355960249901,0.005153108388185501,0.7778362035751343,0.0
meta-sgd_rot-mnist_reptile_parallel_0,3,5,72.39999999999999,0.0065830293267965,10,0.01,64,0.006508355960249901,0.005153108388185501,0.7778362035751343,0.0
meta-sgd_rot-mnist_reptile_parallel_0,3,10,70.73,0.0068954384177923,10,0.01,128,0.006508355960249901,0.005153108388185501,0.7778362035751343,0.0
meta-sgd_rot-mnist_reptile_parallel_0,4,0,61.92,0.0102183142006397,0,,0,0.010782137513160706,0.010218314826488495,0.4593811333179474,0.0
meta-sgd_rot-mnist_reptile_parallel_0,4,1,56.8,0.011445665860176,10,0.01,10,0.010782137513160706,0.010218314826488495,0.4593811333179474,0.0
meta-sgd_rot-mnist_reptile_parallel_0,4,2,58.34,0.010906212735176,10,0.01,20,0.010782137513160706,0.010218314826488495,0.4593811333179474,0.0
meta-sgd_rot-mnist_reptile_parallel_0,4,5,58.06,0.0107329094290733,10,0.01,64,0.010782137513160706,0.010218314826488495,0.4593811333179474,0.0
meta-sgd_rot-mnist_reptile_parallel_0,4,10,56.71000000000001,0.0106089913845062,10,0.01,128,0.010782137513160706,0.010218314826488495,0.4593811333179474,0.0
