config,model,optimizer,lr,momentum,after_task,cil_raw_task0,cil_raw_task1,cil_raw_task2,cil_raw_past,cil_raw_current,cil_raw_unseen,cil_gen_task0,cil_gen_task1,cil_gen_task2,cil_gen_past,cil_gen_current,cil_gen_unseen,til_raw_task0,til_raw_task1,til_raw_task2,til_raw_past,til_raw_current,til_raw_unseen,til_gen_task0,til_gen_task1,til_gen_task2,til_gen_past,til_gen_current,til_gen_unseen,cil_unparsed,til_unparsed,cil_pmi_task0,cil_pmi_task1,cil_pmi_task2,cil_pmi_past,cil_pmi_current,cil_pmi_unseen,til_pmi_task0,til_pmi_task1,til_pmi_task2,til_pmi_past,til_pmi_current,til_pmi_unseen,cil_gap_past,cil_gap_current,cil_gap_unseen,til_gap_past,til_gap_current,til_gap_unseen
sgd_adamw_lr1e-4_mom0,sgd,adamw,1e-4,0,0,23.1,7.9,10.6,,23.1,9.25,0.0,0.0,0.0,,0.0,0.0,23.1,7.9,10.6,,23.1,9.25,0.0,0.0,0.0,,0.0,0.0,99.97,99.97,,,,,,,,,,,,,,,,,,
sgd_adamw_lr1e-4_mom0,sgd,adamw,1e-4,0,1,0.0,34.2,8.4,0.0,34.2,8.4,0.0,0.0,0.0,0.0,0.0,0.0,11.9,34.2,8.4,11.9,34.2,8.4,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,,,,,,,,,,,,,,,,,,
sgd_adamw_lr1e-4_mom0,sgd,adamw,1e-4,0,2,0.0,0.0,31.0,0.0,31.0,,0.0,0.0,0.0,0.0,0.0,,10.2,14.6,31.0,12.4,31.0,,0.0,0.0,0.0,0.0,0.0,,100.0,100.0,,,,,,,,,,,,,,,,,,
sgd_adamw_lr1e-5_mom0,sgd,adamw,1e-5,0,0,80.9,11.9,16.5,,80.9,14.2,11.5,5.4,10.3,,11.5,7.85,80.9,11.9,16.5,,80.9,14.2,11.5,5.4,10.3,,11.5,7.85,89.43,89.43,,,,,,,,,,,,,,,,,,
sgd_adamw_lr1e-5_mom0,sgd,adamw,1e-5,0,1,0.0,71.9,10.0,0.0,71.9,10.0,4.2,0.7,1.4,4.2,0.7,1.4,18.3,71.9,10.0,18.3,71.9,10.0,4.2,0.7,1.4,4.2,0.7,1.4,96.7,97.23,,,,,,,,,,,,,,,,,,
sgd_adamw_lr1e-5_mom0,sgd,adamw,1e-5,0,2,0.0,0.0,76.6,0.0,76.6,,5.4,0.4,4.0,2.9,4.0,,21.7,24.3,76.6,23.0,76.6,,5.4,0.4,4.0,2.9,4.0,,88.43,95.27,,,,,,,,,,,,,,,,,,
sgd_adamw_lr3e-5_mom0,sgd,adamw,3e-5,0,0,89.3,10.4,11.6,,89.3,11.0,6.1,3.4,3.4,,6.1,3.4,89.3,10.4,11.6,,89.3,11.0,6.1,3.4,3.4,,6.1,3.4,94.83,94.83,,,,,,,,,,,,,,,,,,
sgd_adamw_lr3e-5_mom0,sgd,adamw,3e-5,0,1,0.0,87.3,8.5,0.0,87.3,8.5,1.1,0.5,1.9,1.1,0.5,1.9,39.0,87.3,8.5,39.0,87.3,8.5,1.1,0.5,1.9,1.1,0.5,1.9,98.37,98.63,,,,,,,,,,,,,,,,,,
sgd_adamw_lr3e-5_mom0,sgd,adamw,3e-5,0,2,0.0,0.2,89.0,0.1,89.0,,0.5,0.0,0.0,0.25,0.0,,13.9,43.5,89.0,28.7,89.0,,0.5,0.0,0.0,0.25,0.0,,99.3,99.73,,,,,,,,,,,,,,,,,,
sgd_sgd_lr0.01_mom0.9,sgd,sgd,0.01,0.9,0,10.0,10.0,10.0,,10.0,10.0,0.0,0.0,0.0,,0.0,0.0,10.0,10.0,10.0,,10.0,10.0,0.0,0.0,0.0,,0.0,0.0,100.0,100.0,,,,,,,,,,,,,,,,,,
sgd_sgd_lr0.01_mom0.9,sgd,sgd,0.01,0.9,1,0.0,10.0,10.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,10.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,,,,,,,,,,,,,,,,,,
sgd_sgd_lr0.01_mom0.9,sgd,sgd,0.01,0.9,2,0.0,0.0,10.0,0.0,10.0,,0.0,0.0,0.0,0.0,0.0,,10.0,10.0,10.0,10.0,10.0,,0.0,0.0,0.0,0.0,0.0,,100.0,100.0,,,,,,,,,,,,,,,,,,
